learning_rate,reg_alpha,reg_lambda,gamma,max_depth,min_child_weight,subsample,objective,nthread,max_delta_step,Accuracy,AUC Score (Train),Precision,Recall,f1-score,cv mean,cv Std,cv min,cv max
0.1,0.5,0.9,3,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9943820224719101,1.0,0.16666666666666666,0.2857142857142857,,,,
0.1,0.5,0.9,3,4,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.995318352059925,1.0,0.25,0.4,,,,
0.1,0.5,0.9,3,5,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.995318352059925,1.0,0.25,0.4,,,,
0.1,0.5,0.9,3,6,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.995318352059925,1.0,0.25,0.4,0.7134347050223597,0.22129240065724373,0.4210526315789474,0.9305555555555556
0.1,0.5,0.9,3,7,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.995318352059925,1.0,0.25,0.4,0.6754794461644307,0.17930615882354647,0.4411764705882353,0.9444444444444444
0.1,0.5,0.9,3,8,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.995318352059925,1.0,0.25,0.4,0.7243603801169591,0.12354173689840044,0.5263157894736843,0.8888888888888888
0.1,0.5,0.9,4,3,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9901685393258426,1.0,0.08333333333333333,0.15384615384615385,0.7475882352941177,0.17708348470038987,0.475,1.0
0.1,0.5,0.9,4,4,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9906367041198503,0.0,0.0,0.0,,,,
0.1,0.5,0.9,4,5,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9906367041198503,0.0,0.0,0.0,,,,
0.1,0.5,0.9,4,6,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9906367041198503,0.0,0.0,0.0,0.6930281432748538,0.16921751341361949,0.5138888888888888,1.0
0.1,0.5,0.9,4,7,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9906367041198503,0.0,0.0,0.0,0.7250967492260061,0.10246417424312765,0.625,0.9210526315789475
0.1,0.5,0.9,4,8,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9906367041198503,0.0,0.0,0.0,0.6409150326797385,0.18175569258463284,0.35,0.8529411764705882
0.1,0.5,0.9,5,3,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9728464419475655,0.0,0.0,0.0,0.7684035087719299,0.1281699304415387,0.6527777777777778,1.0
0.1,0.5,0.9,5,4,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,0.5677692495126706,0.1123712786978819,0.4722222222222222,0.7777777777777778
0.1,0.5,0.9,5,5,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,,,,
0.1,0.5,0.9,5,6,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,,,,
